Click count,Click generation,Loss,Dice overlap,Intersection over Union,Accuracy,Sensibility,Specificity
1,random,0.21217980980873108,0.07361626625061035,0.662695050239563,0.930523693561554,0.9147284030914307,0.9357361793518066
2,random,0.15461431443691254,0.04900278151035309,0.7483758926391602,0.9470245838165283,0.8821978569030762,0.968620777130127
4,random,0.14643831551074982,0.047545015811920166,0.7537213563919067,0.9447082877159119,0.8901956677436829,0.9630603194236755
6,random,0.15937326848506927,0.05284838378429413,0.7409777641296387,0.9435638785362244,0.9378655552864075,0.9449587464332581
8,random,0.12313418090343475,0.0421721488237381,0.7814393639564514,0.957073986530304,0.9261960387229919,0.9671680927276611
10,random,0.11225941777229309,0.038735225796699524,0.7942553162574768,0.9598678350448608,0.911076545715332,0.9759032726287842
12,random,0.11516134440898895,0.03799286484718323,0.7992453575134277,0.9586212635040283,0.927189290523529,0.9687342047691345
14,random,0.11506666988134384,0.03159709274768829,0.8254047632217407,0.9615112543106079,0.8994282484054565,0.9821246862411499
16,random,0.11877083778381348,0.034847572445869446,0.8141770958900452,0.9586074352264404,0.9350009560585022,0.9659866690635681
1,edge,0.18495772778987885,0.08131112158298492,0.6220827102661133,0.9329147338867188,0.8319526314735413,0.9671394228935242
2,edge,0.19211328029632568,0.07783465087413788,0.6426706314086914,0.9382766485214233,0.8881118297576904,0.9549028873443604
4,edge,0.14182056486606598,0.04073065519332886,0.7813881039619446,0.9542297124862671,0.8704811334609985,0.9824488759040833
6,edge,0.1324116438627243,0.04351077973842621,0.7698653936386108,0.9537353515625,0.8822985291481018,0.9779795408248901
8,edge,0.14794375002384186,0.04746340215206146,0.7575598955154419,0.9495941400527954,0.909881591796875,0.9626703262329102
10,edge,0.18858760595321655,0.06732136011123657,0.6889454126358032,0.9264144897460938,0.94073486328125,0.9209566712379456
12,edge,0.13660304248332977,0.0419764518737793,0.775420069694519,0.9531478881835938,0.8723962903022766,0.980376124382019
14,edge,0.13110709190368652,0.04128256440162659,0.7832276821136475,0.9568465948104858,0.9064316749572754,0.9737415313720703
16,edge,0.1370791494846344,0.04452429711818695,0.7711412906646729,0.9481155276298523,0.9178154468536377,0.9579428434371948
1,kmeans,0.17725960910320282,0.04447798430919647,0.7605197429656982,0.9471268057823181,0.8397133946418762,0.9836281538009644
2,kmeans,0.1631554514169693,0.050617605447769165,0.7360893487930298,0.9475418329238892,0.8611495494842529,0.9765661954879761
4,kmeans,0.15964800119400024,0.06009884178638458,0.7116917371749878,0.9416397213935852,0.9303551316261292,0.9451355338096619
6,kmeans,0.12678375840187073,0.04899495840072632,0.7497024536132812,0.9520767331123352,0.9040451645851135,0.968163251876831
8,kmeans,0.12280100584030151,0.03943653404712677,0.7880893349647522,0.9568954706192017,0.886282205581665,0.9805058836936951
10,kmeans,0.12119008600711823,0.043872371315956116,0.7757012248039246,0.9545624256134033,0.9343370795249939,0.9608036279678345
12,kmeans,0.11215508729219437,0.03576923906803131,0.807019829750061,0.9585418701171875,0.9072708487510681,0.9755486249923706
14,kmeans,0.15065157413482666,0.05069075524806976,0.7491395473480225,0.9453781247138977,0.9403431415557861,0.946535587310791
16,kmeans,0.1169036328792572,0.034081876277923584,0.814078152179718,0.9592086672782898,0.8986582159996033,0.9796820282936096
