Click count,Click generation,Loss,Dice overlap,Intersection over Union,Accuracy,Sensibility,Specificity
1,random,0.19064827263355255,0.05831843614578247,0.7388687133789062,0.9321670532226562,0.8683565855026245,0.96840500831604
2,random,0.1709231734275818,0.06637680530548096,0.7120980024337769,0.9385986328125,0.9142955541610718,0.954621434211731
4,random,0.15475593507289886,0.052348047494888306,0.7644732594490051,0.9407852292060852,0.923198938369751,0.9521453380584717
6,random,0.18232223391532898,0.05455620586872101,0.7597443461418152,0.9258865714073181,0.9507085084915161,0.9165613055229187
8,random,0.14304441213607788,0.04477895796298981,0.7937120199203491,0.9482773542404175,0.9090832471847534,0.9706225991249084
10,random,0.14819000661373138,0.04355481266975403,0.8010316491127014,0.9466156363487244,0.9282292723655701,0.9584219455718994
12,random,0.16745857894420624,0.05056557059288025,0.7758311033248901,0.9389235973358154,0.9401712417602539,0.9411500096321106
14,random,0.1530025154352188,0.04742345213890076,0.7846249938011169,0.9429885745048523,0.9320034384727478,0.9507626891136169
16,random,0.1459912657737732,0.04341304302215576,0.8029088973999023,0.9450027346611023,0.9477280974388123,0.9465280771255493
1,edge,0.3005935549736023,0.11566907167434692,0.5649840235710144,0.8943420648574829,0.8663767576217651,0.9122735261917114
2,edge,0.1842830777168274,0.060594215989112854,0.7334138751029968,0.9283432364463806,0.8996568322181702,0.9449079036712646
4,edge,0.18299271166324615,0.06677936017513275,0.7116526961326599,0.9322845339775085,0.9040002822875977,0.9490299820899963
6,edge,0.23025181889533997,0.06201457977294922,0.730384111404419,0.9199722409248352,0.9208875298500061,0.9218345880508423
8,edge,0.18101546168327332,0.06528621912002563,0.7177746295928955,0.9274765253067017,0.9190069437026978,0.9332535266876221
10,edge,0.1349620372056961,0.0412667840719223,0.8100190758705139,0.9512085318565369,0.9172297716140747,0.9701187014579773
12,edge,0.1623217761516571,0.04881216585636139,0.7802981734275818,0.9391083121299744,0.9236844778060913,0.9482357501983643
14,edge,0.16490457952022552,0.051570579409599304,0.7682980895042419,0.9374252557754517,0.9156870245933533,0.9498708248138428
16,edge,0.14795729517936707,0.045959264039993286,0.7890915870666504,0.9491806626319885,0.9088395237922668,0.9709827899932861
1,kmeans,0.3070845603942871,0.12888126075267792,0.5444238781929016,0.9111236929893494,0.9261741638183594,0.908189058303833
2,kmeans,0.1635044813156128,0.0572873055934906,0.7414444088935852,0.9406554698944092,0.8737002611160278,0.9782348871231079
4,kmeans,0.17582853138446808,0.05652192234992981,0.7489909529685974,0.9335327744483948,0.9116848111152649,0.9471845030784607
6,kmeans,0.13875439763069153,0.045367881655693054,0.7953299283981323,0.9472992420196533,0.9451625943183899,0.9512343406677246
8,kmeans,0.15127922594547272,0.0481179803609848,0.7824677228927612,0.9435043931007385,0.9417037963867188,0.947470486164093
10,kmeans,0.14110854268074036,0.048024311661720276,0.784207284450531,0.9481704831123352,0.9455937147140503,0.9520817399024963
12,kmeans,0.1428900510072708,0.04327589273452759,0.801860511302948,0.9489120244979858,0.9259288907051086,0.9638617634773254
14,kmeans,0.1350773423910141,0.04387575387954712,0.796830415725708,0.9526047110557556,0.9091571569442749,0.9773145318031311
16,kmeans,0.16778533160686493,0.055666446685791016,0.7574790716171265,0.9348983764648438,0.9545652866363525,0.9277771711349487
