Click count,Click generation,Loss,Dice overlap,Intersection over Union,Accuracy,Sensibility,Specificity
1,random,0.17689098417758942,0.073274627327919,0.6541174650192261,0.9335311651229858,0.863551139831543,0.9568418860435486
2,random,0.17297080159187317,0.06788897514343262,0.6730530261993408,0.9341660141944885,0.8753404021263123,0.9539717435836792
4,random,0.1536823809146881,0.04528215527534485,0.757434606552124,0.9451935291290283,0.8554306626319885,0.9753066301345825
6,random,0.1328941434621811,0.048601359128952026,0.7428056001663208,0.947509765625,0.8662488460540771,0.9748137593269348
8,random,0.12822076678276062,0.04101118445396423,0.7804330587387085,0.9520111083984375,0.8871860504150391,0.973730742931366
10,random,0.13829539716243744,0.04764580726623535,0.7592437267303467,0.9417251944541931,0.9335346221923828,0.9438372850418091
12,random,0.13174892961978912,0.04328751564025879,0.779536783695221,0.947680652141571,0.9462137222290039,0.9475769400596619
14,random,0.13152597844600677,0.03584626317024231,0.8069723844528198,0.9547576904296875,0.9100313186645508,0.9696390628814697
16,random,0.1261928528547287,0.03440496325492859,0.8135044574737549,0.9570556282997131,0.9102643728256226,0.9724987745285034
1,edge,0.2396523505449295,0.07127156853675842,0.6692720055580139,0.9231781363487244,0.8932232856750488,0.9331855773925781
2,edge,0.20082826912403107,0.08523388206958771,0.6189420223236084,0.9268172979354858,0.8800710439682007,0.9421985745429993
4,edge,0.1693829745054245,0.055812329053878784,0.7135046124458313,0.937599241733551,0.8428901433944702,0.9692907333374023
6,edge,0.17123721539974213,0.06407281756401062,0.6947494745254517,0.9387238025665283,0.9074105024337769,0.9489959478378296
8,edge,0.1235487163066864,0.04219205677509308,0.7727565169334412,0.9525497555732727,0.8658634424209595,0.9815751314163208
10,edge,0.14099012315273285,0.04127123951911926,0.7791972160339355,0.9525177478790283,0.87733393907547,0.977846622467041
12,edge,0.159956157207489,0.040114179253578186,0.7801051735877991,0.9500656127929688,0.8491584062576294,0.9838265776634216
14,edge,0.16080081462860107,0.058038726449012756,0.7090071439743042,0.9344695806503296,0.8666725158691406,0.9569926857948303
16,edge,0.13542315363883972,0.037503525614738464,0.7951564788818359,0.9530823230743408,0.8679706454277039,0.9817261099815369
1,kmeans,0.22666577994823456,0.08827254176139832,0.6166658401489258,0.9150924682617188,0.9156233072280884,0.914632260799408
2,kmeans,0.1646028757095337,0.053673937916755676,0.7210094332695007,0.9394867420196533,0.8426680564880371,0.9724027514457703
4,kmeans,0.1959628015756607,0.05318765342235565,0.7306263446807861,0.9359756708145142,0.870189905166626,0.9582206606864929
6,kmeans,0.14124752581119537,0.04407641291618347,0.7685272097587585,0.9461715817451477,0.8877400159835815,0.9655454754829407
8,kmeans,0.13801896572113037,0.04610323905944824,0.7538830041885376,0.9468933343887329,0.8489820957183838,0.9797395467758179
10,kmeans,0.1277163177728653,0.050963178277015686,0.7357590198516846,0.948760986328125,0.8709456920623779,0.9748852252960205
12,kmeans,0.12586063146591187,0.0387953519821167,0.7943980693817139,0.95128333568573,0.9149441719055176,0.9631161689758301
14,kmeans,0.12656603753566742,0.04304671287536621,0.7770988941192627,0.948040783405304,0.924514889717102,0.9556699991226196
16,kmeans,0.12941007316112518,0.03918260335922241,0.7911120653152466,0.9530426263809204,0.9037766456604004,0.9693384170532227
